"id","sessionId","questionId","questionText","questionType","response","createdAt","piiCategoriesDetected","data"
"67bed77a-1d3a-4259-87fd-acbeeeaacc01","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","6","I felt comfortable interacting with the chatbot.","likert","Agree","2026-03-28T09:54:05.144Z",,
"177d5b86-7f72-4746-a840-0ac6d1597494","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Agree","2026-03-28T09:54:05.143Z",,
"78b03888-dd20-48e7-9d3d-b4bc77add66c","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Slightly","2026-03-28T09:54:05.144Z",,
"4393b490-b9d2-4352-8221-c77e9c2ecd62","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Disagree","2026-03-28T09:54:05.144Z",,
"6d5261d8-410c-4071-ad75-86b40c592739","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","5","The chatbot felt conversational and informal.","likert","Disagree","2026-03-28T09:54:05.143Z",,
"41dc4b7a-d19e-45f0-8710-f68a115f0422","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","9","I found myself including more detail than necessary.","likert","Strongly Disagree","2026-03-28T09:54:05.145Z",,
"a3429648-9b08-4a79-943d-87fb3c10cb03","222ae313-0fb6-4b61-abea-1461956eb936","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-28T10:01:16.687Z",,
"71c84099-e4fb-418a-88a6-cf586f029123","222ae313-0fb6-4b61-abea-1461956eb936","10","I felt in control of what information I shared.","likert","Strongly Agree","2026-03-28T10:01:16.690Z",,
"4a7f0000-5fac-44aa-8b6c-a798ba9e45d2","222ae313-0fb6-4b61-abea-1461956eb936","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions""]","2026-03-28T10:01:16.690Z",,
"f29ac6df-8f72-46c6-aea1-65006685baf5","222ae313-0fb6-4b61-abea-1461956eb936","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-28T10:01:16.690Z",,
"422c79c2-5f18-4872-aefa-69bea725668f","222ae313-0fb6-4b61-abea-1461956eb936","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Agree","2026-03-28T10:01:16.690Z",,
"4be2d80e-724e-494f-8a1e-4201f194fae8","222ae313-0fb6-4b61-abea-1461956eb936","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-28T10:01:16.690Z",,
"5c67e9f3-59b2-4eaa-9d22-a4cd7e6bd74e","222ae313-0fb6-4b61-abea-1461956eb936","15","Thoughts or concerns about privacy.","text","","2026-03-28T10:01:16.690Z",,
"898b6664-0291-4bff-a0d2-e4abba2b8fcf","222ae313-0fb6-4b61-abea-1461956eb936","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Strongly Disagree","2026-03-28T10:01:16.687Z",,
"ec696aac-3292-4c90-846c-4f2b35d431e2","222ae313-0fb6-4b61-abea-1461956eb936","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Agree","2026-03-28T10:01:16.687Z",,
"74d1c47d-8673-46af-bf07-6bab138b1d2b","222ae313-0fb6-4b61-abea-1461956eb936","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Learning or studying""]","2026-03-28T10:01:16.687Z",,
"82ada255-c27e-483e-b7d0-a623ffbb6886","222ae313-0fb6-4b61-abea-1461956eb936","5","The chatbot felt conversational and informal.","likert","Agree","2026-03-28T10:01:16.688Z",,
"713eba83-983b-435d-89a2-ef5dff37bc7e","222ae313-0fb6-4b61-abea-1461956eb936","6","I felt comfortable interacting with the chatbot.","likert","Agree","2026-03-28T10:01:16.688Z",,
"a0ba0fc1-6c88-4b7d-97bd-33b63f42ae16","222ae313-0fb6-4b61-abea-1461956eb936","9","I found myself including more detail than necessary.","likert","Strongly Disagree","2026-03-28T10:01:16.690Z",,
"9c08a9f3-9ecf-4a73-956e-94395e294ebd","222ae313-0fb6-4b61-abea-1461956eb936","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Slightly","2026-03-28T10:01:16.689Z",,
"1dfc15bc-7083-44df-9021-4006f95bbbc8","222ae313-0fb6-4b61-abea-1461956eb936","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Disagree","2026-03-28T10:01:16.689Z",,
"dd54cb1d-784b-4192-8172-4f79fc08de99","5c6a330d-bd76-4091-a431-00f41d22323f","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-28T10:13:25.253Z",,
"5ada9cd4-3a48-40c8-89dc-6457c49d586d","5c6a330d-bd76-4091-a431-00f41d22323f","10","I felt in control of what information I shared.","likert","Strongly Agree","2026-03-28T10:13:25.256Z",,
"6132569a-ca7e-4c39-8752-68bb6ccf093a","5c6a330d-bd76-4091-a431-00f41d22323f","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions""]","2026-03-28T10:13:25.256Z",,
"3d26e5dc-5b13-4234-aed6-ddbd823b8b06","5c6a330d-bd76-4091-a431-00f41d22323f","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-28T10:13:25.256Z",,
"d1e3764e-faf5-4f0a-b539-305066f21b3c","5c6a330d-bd76-4091-a431-00f41d22323f","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Neutral","2026-03-28T10:13:25.256Z",,
"adeadffa-ed18-4769-8886-706419e1eb5f","5c6a330d-bd76-4091-a431-00f41d22323f","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Learning or studying"",""Programming or technical help""]","2026-03-28T10:13:25.253Z",,
"03bb8be9-44e9-4cb7-9585-538448f8ef2a","5c6a330d-bd76-4091-a431-00f41d22323f","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-28T10:13:25.256Z",,
"4454066e-511c-4e7c-904d-6cb135357a70","5c6a330d-bd76-4091-a431-00f41d22323f","15","Thoughts or concerns about privacy.","text","","2026-03-28T10:13:25.256Z",,
"1a7c7d67-023c-47fb-b46d-2a205dcb208b","5c6a330d-bd76-4091-a431-00f41d22323f","5","The chatbot felt conversational and informal.","likert","Disagree","2026-03-28T10:13:25.254Z",,
"1b71cb1b-192b-4cd0-b792-222ddd5a62a6","5c6a330d-bd76-4091-a431-00f41d22323f","6","I felt comfortable interacting with the chatbot.","likert","","2026-03-28T10:13:25.254Z",,
"db7e8df8-8127-4af7-8e31-6fcbad86f34b","5c6a330d-bd76-4091-a431-00f41d22323f","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Agree","2026-03-28T10:13:25.255Z",,
"00b02687-4412-43bf-9dad-1c049d64ca59","5c6a330d-bd76-4091-a431-00f41d22323f","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Strongly Agree","2026-03-28T10:13:25.253Z",,
"6da6a057-cfb6-4b72-9c85-ae34c68bb4c9","5c6a330d-bd76-4091-a431-00f41d22323f","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Strongly Disagree","2026-03-28T10:13:25.254Z",,
"2d00b952-5e67-475e-888d-fd2ebb2c6c3b","5c6a330d-bd76-4091-a431-00f41d22323f","9","I found myself including more detail than necessary.","likert","Agree","2026-03-28T10:13:25.255Z",,
"57068893-095d-4d4e-b829-2d78164269ab","5c6a330d-bd76-4091-a431-00f41d22323f","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Moderately","2026-03-28T10:13:25.255Z",,
"28a867d0-9352-496e-89d0-e3b190bc2524","5e98c23b-02ef-4e3e-a74f-46f83ca38788","1","How often do you use conversational AI systems?","multiple_choice","Rarely","2026-03-30T07:24:59.337Z",,
"4182a51b-1f87-456f-9991-4ca000868783","5e98c23b-02ef-4e3e-a74f-46f83ca38788","10","I felt in control of what information I shared.","likert","Strongly Agree","2026-03-30T07:24:59.338Z",,
"d5ceb5c3-c1a8-4d8a-867e-ab23c773a294","5e98c23b-02ef-4e3e-a74f-46f83ca38788","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Task instructions""]","2026-03-30T07:24:59.338Z",,
"7698d137-679b-4df2-a667-bdb198aedde4","5e98c23b-02ef-4e3e-a74f-46f83ca38788","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Strongly Agree","2026-03-30T07:24:59.337Z",,
"5692d652-52fa-4fa1-bb92-40022656ff6a","5e98c23b-02ef-4e3e-a74f-46f83ca38788","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-30T07:24:59.338Z",,
"930822a7-2616-4b5d-a86e-23c1a29d12f1","5e98c23b-02ef-4e3e-a74f-46f83ca38788","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Agree","2026-03-30T07:24:59.338Z",,
"ba636da9-e33c-4f84-8fe5-455ddeb42655","5e98c23b-02ef-4e3e-a74f-46f83ca38788","15","Thoughts or concerns about privacy.","text","n/a","2026-03-30T07:24:59.338Z",,
"f07f1803-6515-4893-af37-c0b5f10623c7","5e98c23b-02ef-4e3e-a74f-46f83ca38788","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-30T07:24:59.338Z",,
"25b12f8d-ceab-43da-bc50-3c06443601b7","5e98c23b-02ef-4e3e-a74f-46f83ca38788","9","I found myself including more detail than necessary.","likert","Disagree","2026-03-30T07:24:59.338Z",,
"8ec2a0fd-9f62-45a9-a6c0-c799acac6470","5e98c23b-02ef-4e3e-a74f-46f83ca38788","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Strongly Agree","2026-03-30T07:24:59.337Z",,
"c9352a55-1397-4829-b7eb-962761236d55","5e98c23b-02ef-4e3e-a74f-46f83ca38788","6","I felt comfortable interacting with the chatbot.","likert","Agree","2026-03-30T07:24:59.337Z",,
"ba9e0eea-b5c1-4aba-816d-bf5b0828fe9a","5e98c23b-02ef-4e3e-a74f-46f83ca38788","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Writing or editing text""]","2026-03-30T07:24:59.337Z",,
"87ff3cd2-3c6b-47da-ac7c-1801f00ff7d4","5e98c23b-02ef-4e3e-a74f-46f83ca38788","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Very closely","2026-03-30T07:24:59.338Z",,
"d28a966d-632b-443e-860a-f83a3a3c3a71","5e98c23b-02ef-4e3e-a74f-46f83ca38788","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Neutral","2026-03-30T07:24:59.337Z",,
"7b36a729-7cd9-4b0b-a59a-d66c1ac18a77","5e98c23b-02ef-4e3e-a74f-46f83ca38788","5","The chatbot felt conversational and informal.","likert","Agree","2026-03-30T07:24:59.337Z",,
"051f924e-2646-49c4-a6e4-87c0b0d41849","472ab492-e347-452a-bb26-5adcad1d6df6","1","How often do you use conversational AI systems?","multiple_choice","Rarely","2026-03-30T12:48:50.865Z",,
"620182e9-3f00-4231-9f01-2e52455a0d1a","472ab492-e347-452a-bb26-5adcad1d6df6","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Very closely","2026-03-30T12:48:50.866Z",,
"def697cb-3bc9-43b0-b720-fa8829752715","472ab492-e347-452a-bb26-5adcad1d6df6","15","Thoughts or concerns about privacy.","text","","2026-03-30T12:48:50.866Z",,
"e9042175-7445-4848-b529-be8912e8d685","472ab492-e347-452a-bb26-5adcad1d6df6","9","I found myself including more detail than necessary.","likert","Agree","2026-03-30T12:48:50.866Z",,
"1d55902f-916c-487a-ac31-02ad66eced77","472ab492-e347-452a-bb26-5adcad1d6df6","10","I felt in control of what information I shared.","likert","Neutral","2026-03-30T12:48:50.866Z",,
"3a047a2d-3fec-4fea-bca4-4468f41131bd","472ab492-e347-452a-bb26-5adcad1d6df6","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions""]","2026-03-30T12:48:50.867Z",,
"a59fe8e9-e886-4ec6-ad16-dbd7272c6fda","472ab492-e347-452a-bb26-5adcad1d6df6","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-30T12:48:50.867Z",,
"a2eb01d3-52e6-4520-ba8c-06247406612b","472ab492-e347-452a-bb26-5adcad1d6df6","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Disagree","2026-03-30T12:48:50.866Z",,
"09ba7d8a-ac71-48f8-87e5-b01e81cf0cb4","472ab492-e347-452a-bb26-5adcad1d6df6","14","In real-world use, I would be cautious about sharing personal information.","likert","Disagree","2026-03-30T12:48:50.866Z",,
"c1b08f95-8391-4874-bd32-6675e207b442","472ab492-e347-452a-bb26-5adcad1d6df6","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Writing or editing text"",""Programming or technical help"",""Learning or studying""]","2026-03-30T12:48:50.865Z",,
